,address,price,year
137,경기도 평택시 서정동,1430000,2013
138,경기도 평택시 서정동,860000,2013
139,경기도 평택시 서정동,710000,2013
140,경기도 평택시 서정동,970000,2013
141,경기도 평택시 서정동,990000,2013
142,경기도 평택시 서정동,680000,2013
143,경기도 평택시 서정동,845000,2013
144,경기도 평택시 서정동,720000,2013
145,경기도 평택시 서정동,1730000,2013
146,경기도 평택시 서정동,1050000,2013
147,경기도 평택시 서정동,1610000,2013
148,경기도 평택시 서정동,825000,2013
149,경기도 평택시 서정동,1690000,2013
150,경기도 평택시 서정동,3250000,2013
151,경기도 평택시 서정동,1090000,2013
152,경기도 평택시 서정동,700000,2013
153,경기도 평택시 서정동,700000,2013
154,경기도 평택시 서정동,1460000,2013
155,경기도 평택시 서정동,710000,2013
156,경기도 평택시 서정동,710000,2013
157,경기도 평택시 서정동,820000,2013
158,경기도 평택시 서정동,690000,2013
159,경기도 평택시 서정동,1120000,2013
160,경기도 평택시 서정동,700000,2013
161,경기도 평택시 서정동,720000,2013
162,경기도 평택시 서정동,1040000,2013
163,경기도 평택시 서정동,930000,2013
164,경기도 평택시 서정동,800000,2013
165,경기도 평택시 서정동,720000,2013
166,경기도 평택시 서정동,720000,2013
167,경기도 평택시 서정동,940000,2013
168,경기도 평택시 서정동,1110000,2013
169,경기도 평택시 서정동,720000,2013
170,경기도 평택시 서정동,1530000,2013
171,경기도 평택시 서정동,934000,2013
172,경기도 평택시 서정동,530000,2013
173,경기도 평택시 서정동,540000,2013
174,경기도 평택시 서정동,1560000,2013
175,경기도 평택시 서정동,1610000,2013
176,경기도 평택시 서정동,865000,2013
177,경기도 평택시 서정동,70000,2013
178,경기도 평택시 서정동,196000,2013
179,경기도 평택시 서정동,166000,2013
180,경기도 평택시 서정동,62000,2013
181,경기도 평택시 서정동,226000,2013
182,경기도 평택시 서정동,191000,2013
183,경기도 평택시 서정동,71000,2013
184,경기도 평택시 장당동,75000,2013
185,경기도 평택시 장당동,230000,2013
186,경기도 평택시 장당동,1090000,2013
187,경기도 평택시 장당동,560000,2013
188,경기도 평택시 장당동,166000,2013
189,경기도 평택시 장당동,415000,2013
190,경기도 평택시 장당동,146000,2013
191,경기도 평택시 장당동,180000,2013
192,경기도 평택시 장당동,600000,2013
193,경기도 평택시 장당동,171000,2013
194,경기도 평택시 장당동,840000,2013
195,경기도 평택시 장당동,136000,2013
196,경기도 평택시 장당동,382000,2013
197,경기도 평택시 장당동,216000,2013
198,경기도 평택시 장당동,145000,2013
199,경기도 평택시 장당동,219000,2013
200,경기도 평택시 장당동,445000,2013
201,경기도 평택시 장당동,194000,2013
202,경기도 평택시 장당동,191000,2013
203,경기도 평택시 장당동,239000,2013
204,경기도 평택시 장당동,408000,2013
205,경기도 평택시 장당동,292000,2013
206,경기도 평택시 장당동,256000,2013
207,경기도 평택시 장당동,146000,2013
208,경기도 평택시 장당동,422000,2013
209,경기도 평택시 장당동,141000,2013
210,경기도 평택시 장당동,216000,2013
211,경기도 평택시 장당동,236000,2013
212,경기도 평택시 장당동,1230000,2013
213,경기도 평택시 장당동,610000,2013
214,경기도 평택시 장당동,232000,2013
215,경기도 평택시 장당동,211000,2013
216,경기도 평택시 장당동,706000,2013
217,경기도 평택시 장당동,605000,2013
218,경기도 평택시 장당동,560000,2013
219,경기도 평택시 장당동,630000,2013
220,경기도 평택시 장당동,540000,2013
221,경기도 평택시 장당동,600000,2013
222,경기도 평택시 장당동,221000,2013
223,경기도 평택시 장당동,136000,2013
224,경기도 평택시 장당동,160000,2013
225,경기도 평택시 장당동,206000,2013
226,경기도 평택시 장당동,205000,2013
227,경기도 평택시 장당동,446000,2013
228,경기도 평택시 장당동,934000,2013
229,경기도 평택시 장당동,1680000,2013
230,경기도 평택시 장당동,805000,2013
231,경기도 평택시 장당동,785000,2013
232,경기도 평택시 장당동,84000,2013
233,경기도 평택시 장당동,50500,2013
234,경기도 평택시 장당동,184000,2013
235,경기도 평택시 장당동,186000,2013
236,경기도 평택시 모곡동,217000,2013
237,경기도 평택시 모곡동,426000,2013
238,경기도 평택시 모곡동,496000,2013
239,경기도 평택시 모곡동,378000,2013
240,경기도 평택시 모곡동,263000,2013
241,경기도 평택시 모곡동,101000,2013
242,경기도 평택시 모곡동,330000,2013
243,경기도 평택시 모곡동,96000,2013
244,경기도 평택시 모곡동,416000,2013
245,경기도 평택시 모곡동,344000,2013
246,경기도 평택시 모곡동,845000,2013
247,경기도 평택시 모곡동,89000,2013
248,경기도 평택시 모곡동,380000,2013
249,경기도 평택시 모곡동,930000,2013
250,경기도 평택시 모곡동,697000,2013
251,경기도 평택시 모곡동,390000,2013
252,경기도 평택시 모곡동,380000,2013
253,경기도 평택시 칠괴동,176000,2013
254,경기도 평택시 칠괴동,486000,2013
255,경기도 평택시 칠괴동,350000,2013
256,경기도 평택시 칠괴동,346000,2013
257,경기도 평택시 칠괴동,362000,2013
258,경기도 평택시 칠괴동,112000,2013
259,경기도 평택시 칠괴동,166000,2013
260,경기도 평택시 칠괴동,148000,2013
261,경기도 평택시 칠괴동,202000,2013
262,경기도 평택시 칠괴동,145000,2013
263,경기도 평택시 칠괴동,365000,2013
264,경기도 평택시 칠괴동,176000,2013
265,경기도 평택시 칠괴동,378000,2013
266,경기도 평택시 칠괴동,372000,2013
267,경기도 평택시 칠괴동,357000,2013
268,경기도 평택시 칠괴동,170000,2013
269,경기도 평택시 칠괴동,202000,2013
270,경기도 평택시 칠괴동,233000,2013
271,경기도 평택시 칠괴동,358000,2013
272,경기도 평택시 칠괴동,90000,2013
273,경기도 평택시 칠괴동,121000,2013
274,경기도 평택시 칠원동,114000,2013
275,경기도 평택시 칠원동,346000,2013
276,경기도 평택시 칠원동,615000,2013
277,경기도 평택시 칠원동,418000,2013
278,경기도 평택시 칠원동,292000,2013
279,경기도 평택시 칠원동,221000,2013
280,경기도 평택시 칠원동,335000,2013
281,경기도 평택시 칠원동,210000,2013
282,경기도 평택시 칠원동,107000,2013
283,경기도 평택시 칠원동,302000,2013
284,경기도 평택시 칠원동,122000,2013
285,경기도 평택시 칠원동,148000,2013
286,경기도 평택시 칠원동,337000,2013
287,경기도 평택시 칠원동,369000,2013
288,경기도 평택시 칠원동,303000,2013
289,경기도 평택시 칠원동,146000,2013
290,경기도 평택시 칠원동,253000,2013
291,경기도 평택시 칠원동,285000,2013
292,경기도 평택시 칠원동,175000,2013
293,경기도 평택시 칠원동,135000,2013
294,경기도 평택시 칠원동,315000,2013
295,경기도 평택시 칠원동,224000,2013
296,경기도 평택시 칠원동,288000,2013
297,경기도 평택시 칠원동,510000,2013
298,경기도 평택시 칠원동,358000,2013
299,경기도 평택시 칠원동,120000,2013
300,경기도 평택시 칠원동,121000,2013
301,경기도 평택시 칠원동,51000,2013
302,경기도 평택시 칠원동,78000,2013
303,경기도 평택시 도일동,101000,2013
304,경기도 평택시 도일동,108000,2013
305,경기도 평택시 도일동,118000,2013
306,경기도 평택시 도일동,89000,2013
307,경기도 평택시 도일동,215000,2013
308,경기도 평택시 도일동,280000,2013
309,경기도 평택시 도일동,285000,2013
310,경기도 평택시 도일동,92000,2013
311,경기도 평택시 도일동,270000,2013
312,경기도 평택시 도일동,185000,2013
313,경기도 평택시 도일동,158000,2013
314,경기도 평택시 도일동,152000,2013
315,경기도 평택시 도일동,337000,2013
316,경기도 평택시 도일동,294000,2013
317,경기도 평택시 도일동,545000,2013
318,경기도 평택시 도일동,390000,2013
319,경기도 평택시 도일동,95000,2013
320,경기도 평택시 도일동,310000,2013
321,경기도 평택시 도일동,120000,2013
322,경기도 평택시 도일동,88500,2013
323,경기도 평택시 도일동,102000,2013
324,경기도 평택시 도일동,243000,2013
325,경기도 평택시 도일동,84500,2013
326,경기도 평택시 도일동,128000,2013
327,경기도 평택시 도일동,268000,2013
328,경기도 평택시 도일동,358000,2013
329,경기도 평택시 도일동,275000,2013
330,경기도 평택시 도일동,140000,2013
331,경기도 평택시 도일동,164000,2013
332,경기도 평택시 도일동,364000,2013
333,경기도 평택시 도일동,314000,2013
334,경기도 평택시 도일동,663000,2013
335,경기도 평택시 도일동,200000,2013
336,경기도 평택시 도일동,151000,2013
337,경기도 평택시 도일동,153000,2013
338,경기도 평택시 도일동,349000,2013
339,경기도 평택시 도일동,155000,2013
340,경기도 평택시 도일동,186000,2013
341,경기도 평택시 도일동,167000,2013
342,경기도 평택시 도일동,204000,2013
343,경기도 평택시 도일동,94000,2013
344,경기도 평택시 도일동,306000,2013
345,경기도 평택시 도일동,319000,2013
346,경기도 평택시 도일동,590000,2013
347,경기도 평택시 도일동,583000,2013
348,경기도 평택시 도일동,440000,2013
349,경기도 평택시 도일동,290000,2013
350,경기도 평택시 도일동,41500,2013
351,경기도 평택시 도일동,36000,2013
352,경기도 평택시 도일동,44000,2013
353,경기도 평택시 도일동,49000,2013
354,경기도 평택시 도일동,36500,2013
355,경기도 평택시 도일동,58000,2013
356,경기도 평택시 도일동,34500,2013
357,경기도 평택시 도일동,61500,2013
358,경기도 평택시 도일동,112000,2013
359,경기도 평택시 도일동,45000,2013
360,경기도 평택시 도일동,109000,2013
361,경기도 평택시 가재동,275000,2013
362,경기도 평택시 가재동,370000,2013
363,경기도 평택시 가재동,180000,2013
364,경기도 평택시 가재동,193000,2013
365,경기도 평택시 가재동,155000,2013
366,경기도 평택시 가재동,141000,2013
367,경기도 평택시 가재동,356000,2013
368,경기도 평택시 가재동,437000,2013
369,경기도 평택시 가재동,368000,2013
370,경기도 평택시 가재동,153000,2013
371,경기도 평택시 가재동,622000,2013
372,경기도 평택시 가재동,570000,2013
373,경기도 평택시 가재동,398000,2013
374,경기도 평택시 가재동,347000,2013
375,경기도 평택시 가재동,363000,2013
376,경기도 평택시 가재동,415000,2013
377,경기도 평택시 가재동,306000,2013
378,경기도 평택시 가재동,200000,2013
379,경기도 평택시 가재동,140000,2013
380,경기도 평택시 가재동,175000,2013
381,경기도 평택시 가재동,568000,2013
382,경기도 평택시 가재동,128000,2013
383,경기도 평택시 가재동,90000,2013
384,경기도 평택시 가재동,325000,2013
385,경기도 평택시 가재동,159000,2013
386,경기도 평택시 가재동,374000,2013
387,경기도 평택시 가재동,218000,2013
388,경기도 평택시 가재동,160000,2013
389,경기도 평택시 가재동,222000,2013
390,경기도 평택시 가재동,309000,2013
391,경기도 평택시 가재동,447000,2013
392,경기도 평택시 가재동,229000,2013
393,경기도 평택시 가재동,396000,2013
394,경기도 평택시 가재동,132000,2013
395,경기도 평택시 가재동,120000,2013
396,경기도 평택시 가재동,88000,2013
397,경기도 평택시 가재동,136000,2013
398,경기도 평택시 장안동,373000,2013
399,경기도 평택시 장안동,230000,2013
400,경기도 평택시 장안동,407000,2013
401,경기도 평택시 장안동,641000,2013
402,경기도 평택시 장안동,153000,2013
403,경기도 평택시 장안동,165000,2013
404,경기도 평택시 장안동,103000,2013
405,경기도 평택시 장안동,158000,2013
406,경기도 평택시 장안동,526000,2013
407,경기도 평택시 장안동,43500,2013
408,경기도 평택시 장안동,153000,2013
409,경기도 평택시 장안동,110000,2013
410,경기도 평택시 장안동,158000,2013
411,경기도 평택시 장안동,190000,2013
412,경기도 평택시 장안동,346000,2013
413,경기도 평택시 장안동,515000,2013
414,경기도 평택시 장안동,650000,2013
415,경기도 평택시 장안동,142000,2013
416,경기도 평택시 장안동,161000,2013
417,경기도 평택시 장안동,260000,2013
418,경기도 평택시 장안동,660000,2013
419,경기도 평택시 장안동,147000,2013
420,경기도 평택시 장안동,158000,2013
421,경기도 평택시 장안동,90000,2013
422,경기도 평택시 장안동,82000,2013
423,경기도 평택시 장안동,368000,2013
424,경기도 평택시 장안동,432000,2013
425,경기도 평택시 장안동,120000,2013
426,경기도 평택시 장안동,210000,2013
427,경기도 평택시 장안동,230000,2013
428,경기도 평택시 장안동,205000,2013
429,경기도 평택시 장안동,180000,2013
430,경기도 평택시 장안동,400000,2013
431,경기도 평택시 장안동,30500,2013
432,경기도 평택시 장안동,86000,2013
433,경기도 평택시 장안동,110000,2013
434,경기도 평택시 이충동,444000,2013
435,경기도 평택시 이충동,210000,2013
436,경기도 평택시 이충동,485000,2013
437,경기도 평택시 이충동,210000,2013
438,경기도 평택시 이충동,316000,2013
439,경기도 평택시 이충동,203000,2013
440,경기도 평택시 이충동,400000,2013
441,경기도 평택시 이충동,470000,2013
442,경기도 평택시 이충동,697000,2013
443,경기도 평택시 이충동,470000,2013
444,경기도 평택시 이충동,435000,2013
445,경기도 평택시 이충동,267000,2013
446,경기도 평택시 이충동,690000,2013
447,경기도 평택시 이충동,556000,2013
448,경기도 평택시 이충동,322000,2013
449,경기도 평택시 이충동,634000,2013
450,경기도 평택시 이충동,576000,2013
451,경기도 평택시 이충동,1670000,2013
452,경기도 평택시 이충동,1170000,2013
453,경기도 평택시 이충동,965000,2013
454,경기도 평택시 이충동,1100000,2013
455,경기도 평택시 이충동,980000,2013
456,경기도 평택시 이충동,1450000,2013
457,경기도 평택시 이충동,3170000,2013
458,경기도 평택시 이충동,1630000,2013
459,경기도 평택시 이충동,1970000,2013
460,경기도 평택시 이충동,1600000,2013
461,경기도 평택시 이충동,1190000,2013
462,경기도 평택시 이충동,600000,2013
463,경기도 평택시 이충동,1000000,2013
464,경기도 평택시 이충동,1540000,2013
465,경기도 평택시 이충동,1180000,2013
466,경기도 평택시 이충동,870000,2013
467,경기도 평택시 이충동,1800000,2013
468,경기도 평택시 이충동,1970000,2013
469,경기도 평택시 이충동,920000,2013
470,경기도 평택시 이충동,740000,2013
471,경기도 평택시 이충동,800000,2013
472,경기도 평택시 이충동,1030000,2013
473,경기도 평택시 이충동,1800000,2013
474,경기도 평택시 이충동,1410000,2013
475,경기도 평택시 이충동,82500,2013
476,경기도 평택시 이충동,155000,2013
477,경기도 평택시 지산동,105000,2013
478,경기도 평택시 지산동,90000,2013
479,경기도 평택시 지산동,80000,2013
480,경기도 평택시 지산동,87500,2013
481,경기도 평택시 지산동,280000,2013
482,경기도 평택시 지산동,210000,2013
483,경기도 평택시 지산동,320000,2013
484,경기도 평택시 지산동,145000,2013
485,경기도 평택시 지산동,270000,2013
486,경기도 평택시 지산동,135000,2013
487,경기도 평택시 지산동,365000,2013
488,경기도 평택시 지산동,130000,2013
489,경기도 평택시 지산동,110000,2013
490,경기도 평택시 지산동,410000,2013
491,경기도 평택시 지산동,165000,2013
492,경기도 평택시 지산동,100000,2013
493,경기도 평택시 지산동,125000,2013
494,경기도 평택시 지산동,400000,2013
495,경기도 평택시 지산동,600000,2013
