2013,가재동,277432.4324324324
2013,고덕면,179237.6811594203
2013,군문동,395375.0
2013,도일동,209482.75862068965
2013,독곡동,475450.0
2013,동삭동,459269.23076923075
2013,모곡동,398705.8823529412
2013,비전동,979210.5263157894
2013,서정동,976391.304347826
2013,서탄면,157524.03846153847
2013,세교동,596956.5217391305
2013,소사동,386526.3157894737
2013,신대동,320083.3333333333
2013,신장동,1358183.4319526628
2013,안중읍,345451.8072289157
2013,오성면,126594.19642857143
2013,용이동,566923.0769230769
2013,월곡동,92576.0
2013,유천동,128578.94736842105
2013,이충동,934360.4651162791
2013,장당동,399298.07692307694
2013,장안동,249805.55555555556
2013,죽백동,255500.0
2013,지산동,808004.2372881356
2013,지제동,312515.1515151515
2013,진위면,220765.2027027027
2013,청룡동,217400.0
2013,칠괴동,253095.2380952381
2013,칠원동,251655.1724137931
2013,통복동,1248880.5970149254
2013,팽성읍,320666.6666666667
2013,평택동,2480862.0689655175
2013,포승읍,240420.98445595856
2013,합정동,1081514.705882353
2013,현덕면,140505.91549295775
2014,가재동,290026.3157894737
2014,고덕면,187576.1421319797
2014,군문동,409375.0
2014,도일동,213303.2786885246
2014,독곡동,492516.12903225806
2014,동삭동,598083.3333333334
2014,모곡동,394764.70588235295
2014,비전동,1040000.0
2014,서정동,1142888.5135135136
2014,서탄면,164492.89099526068
2014,세교동,599340.0
2014,소사동,388200.0
2014,신대동,337391.3043478261
2014,신장동,1400677.3255813953
2014,안중읍,347634.0361445783
2014,오성면,130287.5
2014,용이동,573775.0
2014,월곡동,98558.33333333333
2014,유천동,139250.0
2014,이충동,945659.0909090909
2014,장당동,548383.3333333334
2014,장안동,233271.42857142858
2014,죽백동,296823.5294117647
2014,지산동,843508.4033613446
2014,지제동,351285.71428571426
2014,진위면,228993.33333333334
2014,청룡동,229291.66666666666
2014,칠괴동,257476.19047619047
2014,칠원동,262357.14285714284
2014,통복동,1270242.4242424243
2014,팽성읍,328987.27735368954
2014,평택동,2543157.8947368423
2014,포승읍,242854.21994884912
2014,합정동,1111426.4705882352
2014,현덕면,147093.8028169014
2015,가재동,299421.05263157893
2015,고덕면,193654.0404040404
2015,군문동,422625.0
2015,도일동,222322.5806451613
2015,독곡동,487258.06451612903
2015,동삭동,603134.1463414634
2015,모곡동,404529.4117647059
2015,비전동,1067763.1578947369
2015,서정동,1161929.5302013422
2015,서탄면,170669.01408450704
2015,세교동,659810.8108108108
2015,소사동,386613.63636363635
2015,신대동,355086.95652173914
2015,신장동,1419456.1403508773
2015,안중읍,358954.8192771084
2015,오성면,133377.23214285713
2015,용이동,632804.8780487805
2015,월곡동,102279.16666666667
2015,유천동,143550.0
2015,이충동,953488.8888888889
2015,장당동,536516.1290322581
2015,장안동,241228.57142857142
2015,죽백동,343296.875
2015,지산동,857966.3865546219
2015,지제동,358662.1621621622
2015,진위면,240881.66666666666
2015,청룡동,237312.5
2015,칠괴동,265428.5714285714
2015,칠원동,270517.85714285716
2015,통복동,1283606.0606060605
2015,팽성읍,336431.47208121826
2015,평택동,2574589.285714286
2015,포승읍,246782.5
2015,합정동,1140441.1764705882
2015,현덕면,150456.05633802817
2016,가재동,309684.2105263158
2016,고덕면,199653.2663316583
2016,군문동,429750.0
2016,덕목,146000.0
2016,도일동,226230.15873015873
2016,독곡동,484171.875
2016,동삭동,695277.7777777778
2016,모곡동,413735.29411764705
2016,비전동,1099189.4736842106
2016,서정동,1188426.1744966444
2016,서탄면,177488.31775700935
2016,세교동,673694.4444444445
2016,소사동,476605.2631578947
2016,신대동,362043.47826086957
2016,신장동,1432654.970760234
2016,안중읍,365818.45238095237
2016,오성면,137127.11111111112
2016,용이동,694027.027027027
2016,월곡동,104812.5
2016,유천동,145850.0
2016,이충동,948744.4444444445
2016,장당동,553672.4137931034
2016,장안동,243057.14285714287
2016,죽백동,358703.125
2016,지산동,866466.3865546219
2016,지제동,386770.2702702703
2016,진위면,243581.6326530612
2016,청룡동,241083.33333333334
2016,칠괴동,268857.14285714284
2016,칠원동,304560.0
2016,통복동,1290803.0303030303
2016,팽성읍,349896.25
2016,평택동,2541491.379310345
2016,포승읍,255632.54593175853
2016,합정동,1177386.3636363635
2016,현덕면,151649.58448753462
