,pnu,price,year
0,4122033022100300000,118000,2013
1,4122033022100670000,161000,2013
2,4122033022100940000,111000,2013
3,4122033022101440003,248000,2013
4,4122033022101560002,367000,2013
5,4122033022101640002,263000,2013
6,4122033022101830000,268000,2013
7,4122033022101950000,148000,2013
8,4122033022102030007,293000,2013
9,4122033022102160002,74000,2013
10,4122033022102270000,126000,2013
11,4122033022102650000,84000,2013
12,4122033022102970001,294000,2013
13,4122033022103110000,126000,2013
14,4122033022103410001,281000,2013
15,4122033022103800000,69000,2013
16,4122033022103940000,95000,2013
17,4122033022104270007,108000,2013
18,4122033022104320009,415000,2013
19,4122033022104530002,66000,2013
20,4122033022104740002,241000,2013
21,4122033022105330001,84000,2013
22,4122033022105410000,109000,2013
23,4122033022105670005,265000,2013
24,4122033022105690003,219000,2013
25,4122033022105770001,162000,2013
26,4122033022106330000,74000,2013
27,4122033022106440000,253000,2013
28,4122033022106560004,209000,2013
29,4122033022107240000,126000,2013
30,4122033022107350003,60000,2013
31,4122033022107970005,291000,2013
32,4122033022200090002,116000,2013
33,4122033022200330001,216000,2013
